"","neighborhood","ofns_desc","count"
"397","Brownsville/Ocean Hill","PROSTITUTION & RELATED OFFENSES",11
"398","Brownsville/Ocean Hill","RAPE",204
"399","Brownsville/Ocean Hill","ROBBERY",1853
"400","Brownsville/Ocean Hill","SEX CRIMES",788
"401","Brownsville/Ocean Hill","THEFT OF SERVICES",30
"402","Brownsville/Ocean Hill","THEFT-FRAUD",234
"403","Brownsville/Ocean Hill","UNAUTHORIZED USE OF A VEHICLE",122
"404","Brownsville/Ocean Hill","UNLAWFUL POSS. WEAP. ON SCHOOL",2
"405","Brownsville/Ocean Hill","VEHICLE AND TRAFFIC LAWS",943
"406","Bushwick","(null)",1
"407","Bushwick","ADMINISTRATIVE CODE",122
"408","Bushwick","AGRICULTURE & MRKTS LAW-UNCLASSIFIED",9
"409","Bushwick","ARSON",47
"410","Bushwick","ASSAULT 3 & RELATED OFFENSES",4405
"411","Bushwick","BURGLAR'S TOOLS",32
"412","Bushwick","BURGLARY",1802
"413","Bushwick","CHILD ABANDONMENT/NON SUPPORT",5
"414","Bushwick","CRIMINAL MISCHIEF & RELATED OF",4710
"415","Bushwick","CRIMINAL TRESPASS",270
"416","Bushwick","DANGEROUS DRUGS",682
"417","Bushwick","DANGEROUS WEAPONS",410
"418","Bushwick","DISORDERLY CONDUCT",2
"419","Bushwick","ENDAN WELFARE INCOMP",2
"420","Bushwick","FELONY ASSAULT",1958
"421","Bushwick","FORGERY",340
"422","Bushwick","FRAUDS",125
"423","Bushwick","FRAUDULENT ACCOSTING",1
"424","Bushwick","GAMBLING",12
"425","Bushwick","GRAND LARCENY",3283
"426","Bushwick","GRAND LARCENY OF MOTOR VEHICLE",902
"427","Bushwick","HARRASSMENT 2",6141
"428","Bushwick","HOMICIDE-NEGLIGENT,UNCLASSIFIE",1
"429","Bushwick","HOMICIDE-NEGLIGENT-VEHICLE",1
"430","Bushwick","INTOXICATED & IMPAIRED DRIVING",241
"431","Bushwick","KIDNAPPING & RELATED OFFENSES",7
"432","Bushwick","MISCELLANEOUS PENAL LAW",1205
"433","Bushwick","MURDER & NON-NEGL. MANSLAUGHTER",22
"434","Bushwick","NEW YORK CITY HEALTH CODE",1
"435","Bushwick","NYS LAWS-UNCLASSIFIED FELONY",37
"436","Bushwick","OFF. AGNST PUB ORD SENSBLTY &",1407
"437","Bushwick","OFFENSES AGAINST PUBLIC ADMINI",439
"438","Bushwick","OFFENSES AGAINST THE PERSON",73
"439","Bushwick","OFFENSES INVOLVING FRAUD",91
